public	adapter_requests	Anyone can request an adapter	INSERT	{anon,authenticated}	d41d8cd98f00b204e9800998ecf8427e	b326b5062b2f0e69046810717534cb09
public	agent_invitation_tokens	Owners read own invitation tokens	SELECT	{authenticated}	01f51f0846ad728411df7afcfae01e11	d41d8cd98f00b204e9800998ecf8427e
public	agent_members	Agent reads own row	SELECT	{authenticated}	a52facaf16c3b27b70d2bda3c1812360	d41d8cd98f00b204e9800998ecf8427e
public	agent_members	Owners read own agent_members	SELECT	{authenticated}	01f51f0846ad728411df7afcfae01e11	d41d8cd98f00b204e9800998ecf8427e
public	agent_members	Owners update own active agent_members	UPDATE	{authenticated}	92ee2b9078a5f1f128704a45b9042351	92ee2b9078a5f1f128704a45b9042351
public	apps	Anyone can read app public metadata	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	audit_entries	Users read own audit entries	SELECT	{authenticated}	38fcae42aadfacec5653414342ba6112	d41d8cd98f00b204e9800998ecf8427e
public	audit_events	Customers read own audit events	SELECT	{authenticated}	3524221f4c117cdc55aacc0cc685db54	d41d8cd98f00b204e9800998ecf8427e
public	beta_approved_users	beta_self_read	SELECT	{authenticated}	237bb10fb65440362af79402685b3e52	d41d8cd98f00b204e9800998ecf8427e
public	channel_state	Owners can insert their channel state	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	19300d155780585259ede73ac370586c
public	channel_state	Owners can read their channel state	SELECT	{authenticated}	19300d155780585259ede73ac370586c	d41d8cd98f00b204e9800998ecf8427e
public	channel_state	Owners can update their channel state	UPDATE	{authenticated}	19300d155780585259ede73ac370586c	19300d155780585259ede73ac370586c
public	commodity_prices	public_read_commodity_prices	SELECT	{anon,authenticated}	cceee9382257f8ac179a767a251e2d68	d41d8cd98f00b204e9800998ecf8427e
public	connections	Direct users can delete connections via their subaccount	DELETE	{authenticated}	c612392f2e41b13e785c800676ed7b48	d41d8cd98f00b204e9800998ecf8427e
public	connections	Direct users can insert connections via their subaccount	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	c612392f2e41b13e785c800676ed7b48
public	connections	Direct users can read connections via their subaccount	SELECT	{authenticated}	c612392f2e41b13e785c800676ed7b48	d41d8cd98f00b204e9800998ecf8427e
public	connections	Direct users can update connections via their subaccount	UPDATE	{authenticated}	c612392f2e41b13e785c800676ed7b48	d41d8cd98f00b204e9800998ecf8427e
public	customer_recovery_shares	Customers insert own recovery share	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	cc5647e7f2f068547b3ab12692728a82
public	customer_recovery_shares	Staff read recovery shares	SELECT	{authenticated}	a826f96421f219c86191dcefa966dda3	d41d8cd98f00b204e9800998ecf8427e
public	customer_recovery_shares	Staff update recovery shares	UPDATE	{authenticated}	a826f96421f219c86191dcefa966dda3	d41d8cd98f00b204e9800998ecf8427e
public	customer_vault_meta	Customers read own vault meta	SELECT	{authenticated}	3524221f4c117cdc55aacc0cc685db54	d41d8cd98f00b204e9800998ecf8427e
public	customer_vault_meta	Customers update own vault meta	UPDATE	{authenticated}	cc5647e7f2f068547b3ab12692728a82	d41d8cd98f00b204e9800998ecf8427e
public	customer_vault_meta	Customers upsert own vault meta	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	cc5647e7f2f068547b3ab12692728a82
public	customers	Customers read own row	SELECT	{authenticated}	9fc7fa9c9f97a66f2bb51d11f1e4a031	d41d8cd98f00b204e9800998ecf8427e
public	customers	Staff update customers	UPDATE	{authenticated}	a826f96421f219c86191dcefa966dda3	d41d8cd98f00b204e9800998ecf8427e
public	data_keys	data_keys_owner_select	SELECT	{authenticated}	01f51f0846ad728411df7afcfae01e11	d41d8cd98f00b204e9800998ecf8427e
public	encrypted_transactions	Direct users can delete transactions via their subaccount	DELETE	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	d41d8cd98f00b204e9800998ecf8427e
public	encrypted_transactions	Direct users can insert transactions via their subaccount	INSERT	{authenticated}	d41d8cd98f00b204e9800998ecf8427e	7db97b20d0ba361d129b8ea7eae9755d
public	encrypted_transactions	Direct users can read transactions via their subaccount	SELECT	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	d41d8cd98f00b204e9800998ecf8427e
public	encrypted_transactions	Direct users can update transactions via their subaccount	UPDATE	{authenticated}	7db97b20d0ba361d129b8ea7eae9755d	7db97b20d0ba361d129b8ea7eae9755d
public	exchange_rate_providers	Public read access to provider registry	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	exchange_rate_resolutions	Public read access to audit log	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	exchange_rates	Public read access to confirmed rates	SELECT	{anon,authenticated}	b78d48cc8861f702e96fd81e73dcfcce	d41d8cd98f00b204e9800998ecf8427e
public	historical_money_prices	public_read_historical_money_prices	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
public	historical_money_prices_resolutions	public_read_historical_money_prices_resolutions	SELECT	{anon,authenticated}	b326b5062b2f0e69046810717534cb09	d41d8cd98f00b204e9800998ecf8427e
